date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:20	60195/60195	---M-Z	200	added ('OK')	text/html	etag:%22eb23-6031d8a8a29ab-gzip%22	https://html.vecurosoft.com/kundax/demo/index.html	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/index.html	(from )
15:54:20	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2012:54:19%20GMT	https://html.vecurosoft.com/robots.txt		(from )
15:54:20	1277/1277	---M--	200	added ('OK')	image/png	etag:%224fd-6031d8b6c0d75%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-57x57.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:20	1342/1342	---M--	200	added ('OK')	image/png	etag:%2253e-6031d8b6c6b35%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-60x60.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:21	1630/1630	---M--	200	added ('OK')	image/png	etag:%2265e-6031d8b6d26b5%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-72x72.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:21	1734/1734	---M--	200	added ('OK')	image/png	etag:%226c6-6031d8b6d6535%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-76x76.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:21	3166/3166	---M--	200	added ('OK')	image/png	etag:%22c5e-6031d8b68f096%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-114x114.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:21	3523/3523	---M--	200	added ('OK')	image/png	etag:%22dc3-6031d8b69fa36%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-120x120.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:22	4832/4832	---M--	200	added ('OK')	image/png	etag:%2212e0-6031d8b6a09d6%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-144x144.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
15:54:22	5612/5612	---M--	200	added ('OK')	image/png	etag:%2215ec-6031d8b6b03d6%22	https://html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-152x152.png	C:/aaaaaaa/ra2/html.vecurosoft.com/kundax/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.vecurosoft.com/kundax/demo/index.html)
